Short term,,Long term ,,"For missing data, assume data feature comes from a normal distribution, and predict based of the max and the min of previous data.",,,Testing Data set,,,,,,,,,,,,,,,,,,,,
Country,Code,ContinentCode,Year,Cost of starting a business % of income per capita,Real interest rate: Bank lending rate minus inflation,Stock market capitalization w/o top 10 firms percent of total market cap,Ratio of car sales to population,Ratio of commercial vehicles sales to population,Capital investment as percent of GDP,Labor force participation rate,Fixed broadband internet subscribers per 100 people,Research and development expenditure percent of GDP,Property rights index (0-100),Freedom from corruption index (0-100),Fiscal freedom index (0-100),Business freedom index (0-100),Labor freedom index (0-100),Monetary freedom index (0-100),Trade freedom index (0-100),Investment freedom index (0-100),Financial freedom index (0-100),Economic freedom overall index (0-100),Population ages 65 and above percent of total,Public spending on education percent of public spending,Student teacher ratio primary school,Savings as percent of GDP,Training Data Economic Growth
Canada,CAN,NA,2005,0.9,2.99,75.89,2.63,2.43,22.7,66.67,21.78,1.98,90,87,75,85,82,84.7,83,50,70,76,13.12,12.18,,24.53,5
Canada,CAN,NA,2006,0.8,4.67,76.64,2.64,2.48,23.66,66.58,24.72,1.95,90,85,75,97,84,85.9,83,50,70,77,13.27,,,24.69,4.17
Canada,CAN,NA,2007,0.8,7.53,75.77,2.56,2.58,23.97,67.06,27.56,1.91,90,84,76,97,83,80.7,88,60,70,78,13.44,12.33,,24.47,6.87
Canada,CAN,NA,2008,0.4,0.7,71.11,2.62,2.41,24.13,67.23,29.52,1.86,90,85,76,97,83,81,87,70,80,80,13.63,12.01,,24.31,1.01
Canada,CAN,NA,2009,0.4,4.82,75.17,2.17,2.24,22.02,66.78,30.49,1.92,90,87,77,97,82,80.8,88,70,80,81,13.87,12.48,,18.57,-2.93
Canada,CAN,NA,2010,0.4,-0.26,76.27,2.04,2.61,23.54,66.61,31.68,1.83,90,87,77,97,82,75.4,88,75,80,80,14.15,12.34,,19.36,3.09
Canada,CAN,NA,2011,0.4,-0.23,59.9,1.99,2.73,24.21,66.41,32.67,1.79,90,87,78,96,82,78.8,88,75,80,81,14.45,12.22,,20.91,3.15
Canada,CAN,NA,2012,0.4,1.53,74.59,2.16,2.79,24.87,66.25,33.47,1.78,90,89,79,97,82,77.3,88,75,80,80,14.8,,,20.92,1.76
Canada,CAN,NA,2013,0.4,1.24,72.19,2.15,2.92,24.91,66.22,34.27,1.71,90,87,80,92,82,75.2,88,75,80,79,15.2,,,21.6,2.33
Canada,CAN,NA,2014,0.4,1.04,72.62,2.15,3.19,24.87,65.76,35.24,1.72,90,88,80,89,83,76.3,88,80,80,80,15.62,,,22.15,2.87
Canada,CAN,NA,2015,0.4,3.68,71.95,2,3.44,23.82,65.61,36.4,1.7,90,81,80,89,76,77.9,88,80,80,79,16.05,,,19.57,0.66
Canada,CAN,NA,2016,0.4,1.93,68.46,1.83,3.66,22.76,65.49,36.79,1.73,90,81,80,82,73,76.9,87,80,80,78,16.46,,,19.15,1
Canada,CAN,NA,2017,0.4,0.24,62,1.75,3.83,23.53,65.59,37.91,1.67,88,82,77,82,73,77.8,88,80,80,79,16.84,,,19.96,3.17
Canada,CAN,NA,2018,0.3,2,69,1.56,3.8,23.07,65.26,38.57,1.57,88,78,77,82,71,77.5,88,80,80,78,17.23,,,19.67,2.01
,,,,,Note: Reference Greece Data set,,,,,,,,,,,,,,,,,,,,,Average loss,`
Greece,GRC,EU,2005,22,3.28,42.4,2.45,0.23,22.1,53.73,1.43,0.58,50,43,58,70,56,78.1,80,50,50,59,17.91,8.7,11.06,,1.66
Greece,GRC,EU,2006,21.7,3.83,44.11,2.43,0.24,26.15,53.76,4.36,0.56,50,43,61,73,59,78.7,82,50,50,60,18.22,,10.54,15.36,1.42
Greece,GRC,EU,2007,21.1,4.12,39.08,2.53,0.25,27.13,53.44,9.15,0.58,50,43,62,70,58,78.4,82,50,40,59,18.45,,10.29,12.74,1.65
Greece,GRC,EU,2008,22.5,4.64,42.01,2.41,0.23,24.51,53.22,13.65,0.66,50,44,66,70,59,78.5,81,50,50,61,18.64,,,10.11,-1.09
Greece,GRC,EU,2009,20.2,4.95,40.81,1.98,0.16,18.34,53.46,17.49,0.63,50,46,67,79,61,78.8,81,50,50,61,18.86,,,5.93,-5.42
Greece,GRC,EU,2010,20.7,8.66,36.52,1.27,0.11,17.05,53.4,20.69,0.6,60,47,66,77,55,77.6,83,60,60,63,19.15,,,4.59,4.19
Greece,GRC,EU,2011,20.1,15.54,40.3,0.88,0.06,15.1,52.84,22.76,0.67,50,38,66,76,55,80.6,83,60,60,60,19.4,,,3.08,-0.12
Greece,GRC,EU,2012,20.5,22.42,43.41,0.53,0.04,12.8,52.64,24.95,0.7,50,35,65,76,37,72.6,82,60,60,55,19.72,,9.2,7.21,1.5
Greece,GRC,EU,2013,12.1,10.19,9.71,0.54,0.04,11.6,52.4,27.12,0.81,40,34,66,77,42,73.4,82,65,50,55,20.1,,9.49,9.2,2
Greece,GRC,EU,2014,2.2,7.14,28.85,0.65,0.05,11.91,52.07,29.49,0.83,40,33,66,76,54,76.3,83,60,50,56,20.48,,9.45,9.23,0.37
Greece,GRC,EU,2015,2.3,8.87,21.1,0.7,0.06,10.22,52.19,32.26,0.96,40,40,64,73,52,77.8,83,60,50,54,20.82,,9.64,9.23,1.22
Greece,GRC,EU,2016,2.3,8.35,37.26,0.73,0.06,11.47,52.25,34.06,0.99,40,43,64,74,50,77.7,83,60,40,53,21.13,,9.27,8.64,0.52
Greece,GRC,EU,2017,1.6,5.92,38.02,0.82,0.07,12.51,52.16,35.75,1.13,53,41,61,74,51,78.2,82,60,40,55,21.4,,9.38,8.93,2.17
